Iter;Dataset;Split;Str;k;µ;KL
1;1;1;1;1;0,01;98,71251477
2;1;1;1;1;0,02;92,38367732
3;1;1;1;1;0,05;64,60620191
4;1;1;1;1;0,1;47,7039979
5;1;1;1;1;0,2;28,08397951
6;1;1;1;1;0,5;9,120813042
7;1;1;1;1;1;3,705564114
15;1;1;1;2;0,01;262,9474419
16;1;1;1;2;0,02;237,4509026
17;1;1;1;2;0,05;201,5760303
18;1;1;1;2;0,1;151,2892154
19;1;1;1;2;0,2;99,36772509
20;1;1;1;2;0,5;20,9034005
21;1;1;1;2;1;14,11781383
29;1;2;1;1;0,01;95,25317083
30;1;2;1;1;0,02;91,7089955
31;1;2;1;1;0,05;64,53595676
32;1;2;1;1;0,1;50,39333086
33;1;2;1;1;0,2;28,60105708
34;1;2;1;1;0,5;9,900630673
35;1;2;1;1;1;2,872063851
43;1;2;1;2;0,01;254,086034
44;1;2;1;2;0,02;245,998936
45;1;2;1;2;0,05;199,589709
46;1;2;1;2;0,1;149,8430827
47;1;2;1;2;0,2;96,18580076
48;1;2;1;2;0,5;20,1152843
49;1;2;1;2;1;16,83838051
57;1;3;1;1;0,01;93,41556155
58;1;3;1;1;0,02;87,72889653
59;1;3;1;1;0,05;70,16780778
60;1;3;1;1;0,1;55,06934228
61;1;3;1;1;0,2;32,75715792
62;1;3;1;1;0,5;15,64562368
63;1;3;1;1;1;5,461701626
71;1;3;1;2;0,01;204,1129247
72;1;3;1;2;0,02;197,4564311
73;1;3;1;2;0,05;175,6289029
74;1;3;1;2;0,1;148,9080809
75;1;3;1;2;0,2;104,6780187
76;1;3;1;2;0,5;40,8886498
77;1;3;1;2;1;2,189065932
85;1;4;1;1;0,01;80,97914744
86;1;4;1;1;0,02;84,73581294
87;1;4;1;1;0,05;64,84396824
88;1;4;1;1;0,1;58,23723479
89;1;4;1;1;0,2;41,02715114
90;1;4;1;1;0,5;18,52833436
91;1;4;1;1;1;8,179231315
99;1;4;1;2;0,01;178,5761503
100;1;4;1;2;0,02;176,6396642
101;1;4;1;2;0,05;166,6752598
102;1;4;1;2;0,1;143,183256
103;1;4;1;2;0,2;107,2273386
104;1;4;1;2;0,5;44,01032239
105;1;4;1;2;1;5,678500436
113;2;1;1;1;0,01;22,85790971
114;2;1;1;1;0,02;15,47197889
115;2;1;1;1;0,05;6,537066987
116;2;1;1;1;0,1;3,118593557
117;2;1;1;1;0,2;1,245565036
118;2;1;1;1;0,5;0,352486176
119;2;1;1;1;1;0,098779933
127;2;1;1;2;0,01;110,4153457
130;2;1;1;2;0,1;30,15868189
131;2;1;1;2;0,2;13,73868998
129;2;1;1;2;0,05;52,48230406
132;2;1;1;2;0,5;3,037807265
128;2;1;1;2;0,02;87,25127739
133;2;1;1;2;1;0,394816023
141;2;2;1;1;0,01;20,7815884
142;2;2;1;1;0,02;10,94710949
143;2;2;1;1;0,05;4,371403304
144;2;2;1;1;0,1;1,899709268
145;2;2;1;1;0,2;0,662288244
146;2;2;1;1;0,5;0,145905163
147;2;2;1;1;1;0,057690305
157;2;2;1;2;0,05;58,02125204
158;2;2;1;2;0,1;37,47347328
160;2;2;1;2;0,5;5,728819577
155;2;2;1;2;0,01;100,4770194
156;2;2;1;2;0,02;84,55848375
159;2;2;1;2;0,2;20,24709069
161;2;2;1;2;1;1,067267051
169;2;3;1;1;0,01;24,28256163
170;2;3;1;1;0,02;17,85420433
171;2;3;1;1;0,05;8,689593021
172;2;3;1;1;0,1;4,612879155
173;2;3;1;1;0,2;1,982901153
174;2;3;1;1;0,5;0,533746806
175;2;3;1;1;1;0,173051471
186;2;3;1;2;0,1;42,51075699
187;2;3;1;2;0,2;24,90487235
185;2;3;1;2;0,05;60,6141733
189;2;3;1;2;1;2,234479246
184;2;3;1;2;0,02;81,35919289
183;2;3;1;2;0,01;93,34253684
188;2;3;1;2;0,5;8,235703707
197;2;4;1;1;0,01;17,61397609
198;2;4;1;1;0,02;11,56283178
199;2;4;1;1;0,05;4,811076375
200;2;4;1;1;0,1;1,926930156
201;2;4;1;1;0,2;0,634353652
202;2;4;1;1;0,5;0,162621422
203;2;4;1;1;1;0,057763209
211;2;4;1;2;0,01;110,4666555
212;2;4;1;2;0,02;87,69768765
214;2;4;1;2;0,1;29,48105386
215;2;4;1;2;0,2;13,63468293
216;2;4;1;2;0,5;3,09482002
217;2;4;1;2;1;0,366664702
213;2;4;1;2;0,05;52,71357854
225;3;1;1;1;0,01;100,1980797
227;3;1;1;1;0,05;23,64771688
228;3;1;1;1;0,1;9,740349593
226;3;1;1;1;0,02;59,51610506
229;3;1;1;1;0,2;3,690859926
230;3;1;1;1;0,5;0,530951159
231;3;1;1;1;1;0,024900913
244;3;1;1;2;0,5;18,70930203
245;3;1;1;2;1;23,59185729
243;3;1;1;2;0,2;23,53089212
242;3;1;1;2;0,1;98,45342638
239;3;1;1;2;0,01;551,7496679
240;3;1;1;2;0,02;408,7057632
241;3;1;1;2;0,05;214,971109
253;3;2;1;1;0,01;99,27784027
254;3;2;1;1;0,02;57,9018863
256;3;2;1;1;0,1;9,989163069
255;3;2;1;1;0,05;23,22764048
257;3;2;1;1;0,2;3,666131328
258;3;2;1;1;0,5;0,487377464
259;3;2;1;1;1;0,042440904
267;3;2;1;2;0,01;678,630192
271;3;2;1;2;0,2;151,4946427
273;3;2;1;2;1;11,65030178
272;3;2;1;2;0,5;33,64356076
270;3;2;1;2;0,1;278,2445549
269;3;2;1;2;0,05;420,3991303
268;3;2;1;2;0,02;583,8595387
282;3;3;1;1;0,02;34,64981754
281;3;3;1;1;0,01;64,59130693
283;3;3;1;1;0,05;11,37271346
284;3;3;1;1;0,1;4,41504236
286;3;3;1;1;0,5;0,107231759
285;3;3;1;1;0,2;1,326546484
287;3;3;1;1;1;0,073290901
300;3;3;1;2;0,5;20,96290713
301;3;3;1;2;1;17,51755142
295;3;3;1;2;0,01;460,8376969
297;3;3;1;2;0,05;120,8605232
299;3;3;1;2;0,2;6,623387403
298;3;3;1;2;0,1;37,68180219
296;3;3;1;2;0,02;297,5988698
309;3;4;1;1;0,01;176,4515647
310;3;4;1;1;0,02;130,5721975
311;3;4;1;1;0,05;71,94466717
312;3;4;1;1;0,1;39,75013023
313;3;4;1;1;0,2;18,84992207
314;3;4;1;1;0,5;5,297362773
315;3;4;1;1;1;1,54622284
328;3;4;1;2;0,5;7,384305235
325;3;4;1;2;0,05;353,0080785
326;3;4;1;2;0,1;216,273754
327;3;4;1;2;0,2;100,8081276
329;3;4;1;2;1;20,87940535
323;3;4;1;2;0,01;648,4567552
324;3;4;1;2;0,02;532,7840597
8;1;1;2;1;0,01;112,9797442
9;1;1;2;1;0,02;109,9568884
10;1;1;2;1;0,05;96,52456222
11;1;1;2;1;0,1;84,70032188
12;1;1;2;1;0,2;63,74097914
13;1;1;2;1;0,5;40,61096844
14;1;1;2;1;1;20,18510691
22;1;1;2;2;0,01;273,2372342
23;1;1;2;2;0,02;265,7886594
24;1;1;2;2;0,05;266,4458434
25;1;1;2;2;0,1;235,4571001
26;1;1;2;2;0,2;211,3085613
27;1;1;2;2;0,5;157,4301289
28;1;1;2;2;1;109,4191969
36;1;2;2;1;0,01;113,264521
37;1;2;2;1;0,02;112,9191686
38;1;2;2;1;0,05;86,18122536
39;1;2;2;1;0,1;88,90480158
40;1;2;2;1;0,2;64,49296009
41;1;2;2;1;0,5;36,46384103
42;1;2;2;1;1;23,46814387
50;1;2;2;2;0,01;261,0851694
51;1;2;2;2;0,02;269,7590699
52;1;2;2;2;0,05;267,1903231
53;1;2;2;2;0,1;227,6022985
54;1;2;2;2;0,2;219,4791841
55;1;2;2;2;0,5;168,363168
56;1;2;2;2;1;109,2430825
64;1;3;2;1;0,01;104,7775939
65;1;3;2;1;0,02;96,21950108
66;1;3;2;1;0,05;85,87575746
67;1;3;2;1;0,1;83,10032846
68;1;3;2;1;0,2;68,00567293
69;1;3;2;1;0,5;43,9212686
70;1;3;2;1;1;28,84395763
78;1;3;2;2;0,01;214,488455
79;1;3;2;2;0,02;206,9528238
80;1;3;2;2;0,05;196,7899183
81;1;3;2;2;0,1;194,0872571
82;1;3;2;2;0,2;183,2423152
83;1;3;2;2;0,5;150,8757363
84;1;3;2;2;1;113,2871102
